文件ID,文件名称,文件状态,创建时间,视频时长,视频大小,最近更新,类别,标签,视频地址（原始）,视频地址（原始带水印）,视频地址（手机MP4）,视频地址（标清MP4）,视频地址（高清MP4）,视频地址（超清MP4）,视频地址（手机FLV）,视频地址（标清FLV）,视频地址（高清FLV）,视频地址（手机HLS）,视频地址（标清HLS）,视频地址（高清HLS）,视频地址（超清HLS）,视频含播放器发布HTML,视频含播放器FLASH代码,视频含播放器IFRAME代码,分享（原始）,分享（原始带水印）,分享（手机MP4）,分享（标清MP4）,分享（高清MP4）,分享（超清MP4）,分享（手机FLV）,分享（标清FLV）,分享（高清FLV）,分享（手机HLS）,分享（标清HLS）,分享（高清HLS）,分享（超清HLS）
"	14651978969256225702",01.01_计算机基础(计算机概述),正常,"2016-01-14 14:20:06",452,"	13816832","2016-01-14 14:29:28",其他,,http://200003447.vod.myqcloud.com/200003447_d98b121aba8611e593bdfdb04e12c4d2.f0.avi,,,http://200003447.vod.myqcloud.com/200003447_d98b121aba8611e593bdfdb04e12c4d2.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_d98b121aba8611e593bdfdb04e12c4d2.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256225702"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256225702&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256225702&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225702&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225702&$autoplay=0&$sw=1280&$sh=720&$def=230,
"	14651978969256225703",02.02_Java语言基础(标识符的概述和组成规则),正常,"2016-01-14 14:20:44",502,"	12594688","2016-01-14 14:29:28",其他,,http://200003447.vod.myqcloud.com/200003447_db601806ba8611e593bdfdb04e12c4d2.f0.avi,,,http://200003447.vod.myqcloud.com/200003447_db601806ba8611e593bdfdb04e12c4d2.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_db601806ba8611e593bdfdb04e12c4d2.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256225703"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256225703&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256225703&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225703&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225703&$autoplay=0&$sw=1280&$sh=720&$def=230,
"	14651978969256225705",03.02_Java语言基础(算术运算符的基本用法),正常,"2016-01-14 14:21:26",586,"	14352896","2016-01-14 14:29:27",其他,,http://200003447.vod.myqcloud.com/200003447_f26b430eba8611e59b064b665e35bfe3.f0.avi,,,http://200003447.vod.myqcloud.com/200003447_f26b430eba8611e59b064b665e35bfe3.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_f26b430eba8611e59b064b665e35bfe3.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256225705"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256225705&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256225705&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225705&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225705&$autoplay=0&$sw=1280&$sh=720&$def=230,
"	14651978969256225709",04.01_Java语言基础(选择结构switch语句的格式及其解释),正常,"2016-01-14 14:22:02",507,"	12176896","2016-01-14 14:29:27",其他,,http://200003447.vod.myqcloud.com/200003447_0b05e252ba8711e593bdfdb04e12c4d2.f0.avi,,,http://200003447.vod.myqcloud.com/200003447_0b05e252ba8711e593bdfdb04e12c4d2.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_0b05e252ba8711e593bdfdb04e12c4d2.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256225709"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256225709&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256225709&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225709&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225709&$autoplay=0&$sw=1280&$sh=720&$def=230,
"	14651978969256225712",05.01_Java语言基础(方法概述和格式说明),正常,"2016-01-14 14:22:04",617,"	14936064","2016-01-14 14:29:27",其他,,http://200003447.vod.myqcloud.com/200003447_20771adeba8711e593bdfdb04e12c4d2.f0.avi,,,http://200003447.vod.myqcloud.com/200003447_20771adeba8711e593bdfdb04e12c4d2.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_20771adeba8711e593bdfdb04e12c4d2.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256225712"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256225712&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256225712&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225712&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225712&$autoplay=0&$sw=1280&$sh=720&$def=230,
"	14651978969256225713",06.01_Java语言基础(二维数组概述和格式1的讲解),正常,"2016-01-14 14:23:08",911,"	21706752","2016-01-14 14:29:27",其他,,http://200003447.vod.myqcloud.com/200003447_21cd8ad0ba8711e59b064b665e35bfe3.f0.avi,,,http://200003447.vod.myqcloud.com/200003447_21cd8ad0ba8711e59b064b665e35bfe3.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_21cd8ad0ba8711e59b064b665e35bfe3.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256225713"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256225713&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256225713&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225713&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225713&$autoplay=0&$sw=1280&$sh=720&$def=230,
"	14651978969256225720",07.01_面向对象(成员变量和局部变量的区别),正常,"2016-01-14 14:23:47",680,"	16263680","2016-01-14 14:29:26",其他,,http://200003447.vod.myqcloud.com/200003447_48212106ba8711e59b064b665e35bfe3.f0.avi,,,http://200003447.vod.myqcloud.com/200003447_48212106ba8711e59b064b665e35bfe3.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_48212106ba8711e59b064b665e35bfe3.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256225720"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256225720&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256225720&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225720&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225720&$autoplay=0&$sw=1280&$sh=720&$def=230,
"	14651978969256225725",08.01_面向对象(工具类中使用静态),正常,"2016-01-14 14:23:49",676,"	17910272","2016-01-14 14:29:26",其他,,http://200003447.vod.myqcloud.com/200003447_5eec28e0ba8711e593bdfdb04e12c4d2.f0.avi,,,http://200003447.vod.myqcloud.com/200003447_5eec28e0ba8711e593bdfdb04e12c4d2.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_5eec28e0ba8711e593bdfdb04e12c4d2.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256225725"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256225725&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256225725&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225725&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225725&$autoplay=0&$sw=1280&$sh=720&$def=230,
"	14651978969256225726",09.01_面向对象(final关键字引入),正常,"2016-01-14 14:24:04",340,"	7930880","2016-01-14 14:29:26",其他,,http://200003447.vod.myqcloud.com/200003447_5ffecfe4ba8711e593bdfdb04e12c4d2.f0.avi,,,http://200003447.vod.myqcloud.com/200003447_5ffecfe4ba8711e593bdfdb04e12c4d2.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_5ffecfe4ba8711e593bdfdb04e12c4d2.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256225726"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256225726&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256225726&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225726&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225726&$autoplay=0&$sw=1280&$sh=720&$def=230,
"	14651978969256225728",10.01_面向对象(运动员和教练案例分析),正常,"2016-01-14 14:24:40",612,"	12820992","2016-01-14 14:29:25",其他,,http://200003447.vod.myqcloud.com/200003447_68fe7aeaba8711e59b064b665e35bfe3.f0.avi,,,http://200003447.vod.myqcloud.com/200003447_68fe7aeaba8711e59b064b665e35bfe3.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_68fe7aeaba8711e59b064b665e35bfe3.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256225728"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256225728&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256225728&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225728&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256225728&$autoplay=0&$sw=1280&$sh=720&$def=230,
"	14651978969256244875",LL剧场版,正常,"2016-01-20 19:13:14",5994,"	878222787","2016-01-20 19:55:36",电影,,http://200003447.vod.myqcloud.com/200003447_cbc5d356bf6611e58ef98568e0be8270.f0.mp4,,,http://200003447.vod.myqcloud.com/200003447_cbc5d356bf6611e58ef98568e0be8270.f20.mp4,,,,,,,,http://200003447.vod.myqcloud.com/200003447_cbc5d356bf6611e58ef98568e0be8270.f230.av.m3u8,,"<div id=""id_video_container"" style=""width:100%;height:720px;""></div><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/h5connect.js""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""14651978969256244875"",""app_id"":1251419256,""width"":1280,""height"":720};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container"",option);})()</script>",http://qzonestyle.gtimg.cn/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=14651978969256244875&app_id=1251419256&version=1,"<iframe src=""http://play.video.qcloud.com/iplayer.html?$appid=1251419256&$fileid=14651978969256244875&$autoplay=0&$sw=1280&$sh=720"" frameborder=""0"" width=""100%"" height=""720"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""http://qzonestyle.gtimg.cn/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256244875&$autoplay=0&$sw=640&$sh=360&$def=20,,,,,,,,http://play.video.qcloud.com/qrplayer.html?$appid=1251419256&$fileid=14651978969256244875&$autoplay=0&$sw=1280&$sh=720&$def=230,
